text,label
This movie was fantastic! I couldn't stop watching.,positive
The food at this restaurant was delicious.,positive
I'm very unhappy with the customer service I received.,negative
The product exceeded my expectations.,positive
The delivery was late and the item was damaged.,negative
I'm so impressed with the quality of this product.,positive
The hotel room was dirty and uncomfortable.,negative
The book was a great read and kept me engaged.,positive
This company provides terrible support.,negative
I love this new feature on the app.,positive
The package arrived on time and in perfect condition.,positive
I regret purchasing this item. It's not worth the price.,negative
The performance was outstanding and left me speechless.,positive
The user interface is confusing and hard to navigate.,negative
This game is a lot of fun to play with friends.,positive
I had a difficult time finding the location.,neutral
This hotel has a beautiful view of the ocean.,positive
I'm considering switching to a different phone provider.,neutral
I wonder if this product comes in other colors.,neutral
I need more information before making a decision.,neutral
I had an amazing experience at this event.,positive
The concert was too loud and the crowd was unruly.,negative
The interface of this software is user-friendly.,positive
The weather has been unpredictable lately.,neutral
I'm disappointed with the battery life of this device.,negative
The service at this restaurant was impeccable.,positive
The traffic was unbearable during rush hour.,negative
I'm not sure how to use all the features of this app.,neutral
I'm frustrated with the lack of updates for this software.,negative
The scenery during the hike was breathtaking.,positive
The staff at this store was unhelpful and rude.,negative
I'm excited about the upcoming event in the city.,positive
The noise level in my neighborhood is becoming bothersome.,negative
This software crashes frequently and is frustrating to use.,negative
The park near my house is a great place to relax.,positive
I find the design of this website to be confusing.,negative
I can't believe how fast the service was at this cafe.,positive
The customer support for this product is top-notch.,positive
I wish there were more options available on the menu.,neutral
This gym has state-of-the-art equipment.,positive
The quality of this product does not match its price.,negative
The movie plot was confusing and hard to follow.,negative
