text,label
This movie was fantastic! I couldn't stop watching.,positive
The food at this restaurant was delicious.,positive
I'm very unhappy with the customer service I received.,negative
The product exceeded my expectations.,positive
The delivery was late and the item was damaged.,negative
I'm so impressed with the quality of this product.,positive
The hotel room was dirty and uncomfortable.,negative
The book was a great read and kept me engaged.,positive
This company provides terrible support.,negative
I love this new feature on the app.,positive
The package arrived on time and in perfect condition.,positive
I regret purchasing this item. It's not worth the price.,negative
The performance was outstanding and left me speechless.,positive
The user interface is confusing and hard to navigate.,negative
This game is a lot of fun to play with friends.,positive
I had a difficult time finding the location.,neutral
This hotel has a beautiful view of the ocean.,positive
I'm considering switching to a different phone provider.,neutral
I wonder if this product comes in other colors.,neutral
I need more information before making a decision.,neutral
